problem_id,problem_text,answer,hint,translation
9526,"Расписание поездов Москва-Минск и стоимость билетов представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|c|} \hline
Номер  & Время  & Время прибытия & Стоимость билета  \\
 поезда& отправления& (на следующие сутки)& (руб.) \\\hline
1 & 14:09 & 00:28 & 357 \\\hline
2 & 14:19 & 00:02 & 714 \\\hline
3 & 18:37 & 04:14 & 357 \\\hline
4 & 19:24 & 06:10 & 536 \\\hline
5 & 21:47 & 06:19 & 666 \\\hline
6 & 21:53 & 07:25 & 714 \\\hline
7 & 22:25 & 08:12 & 357 \\\hline
\end{tabular}
\end{center}

Вадиму Алексеевичу нужно доехать в Минск из Москвы поездом. При этом ему необходимо приехать в Минск не позже 07:00, в пути провести не более 10 часов и потратить на билет не больше 2000 рублей.

В ответе укажите какой-нибудь один номер подходящего поезда.",235,время в пути,"The train schedule from Moscow to Minsk and the ticket prices are presented in the table.

\begin{center}
\begin{tabular}{|c|c|c|c|} \hline
Train  & Departure  & Arrival time & Ticket price  \\
number & time & (on the following day) & (RUB) \\\hline
1 & 14:09 & 00:28 & 357 \\\hline
2 & 14:19 & 00:02 & 714 \\\hline
3 & 18:37 & 04:14 & 357 \\\hline
4 & 19:24 & 06:10 & 536 \\\hline
5 & 21:47 & 06:19 & 666 \\\hline
6 & 21:53 & 07:25 & 714 \\\hline
7 & 22:25 & 08:12 & 357 \\\hline
\end{tabular}
\end{center}

Vadim Alekseevich needs to get to Minsk from Moscow by train. He needs to arrive in Minsk no later than 07:00, spend no more than 10 hours on the journey, and spend no more than 2000 rubles on the ticket.

In your response, indicate any one suitable train number."
4975,"Установите соответствие между величинами и их возможными значениями: к каждому элементу первого столбца подберите соответствующий элемент из второго столбца.
\begin{center}
\begin{tabular}{p{8cm}p{0.1cm}p{4.9cm}}
\multicolumn{1}{c}{ВЕЛИЧИНЫ} & & ЗНАЧЕНИЯ \\ 
А) масса таблетки лекарства & 1) & $3,3464\cdot 10^{-27}$ кг \\
Б) масса Земли & 2) & 5 т \\
В) масса молекулы водорода & 3) & 500 мг \\
Г) масса взрослого слона & 4) & $5,9726\cdot 10^{24}$ кг \\
\end{tabular}
\end{center}

В таблице под каждой буквой, соответствующей величине, укажите номер её возможного значения.

\vspace{\medskip}

\begin{tabular}{|*{4}{c|}} \hline
А & Б & В & Г \\ \hline
 &  &  &  \\ \hline
\end{tabular}",3412,соответствие,"Establish a correspondence between quantities and their possible values: match each element from the first column with the corresponding element from the second column.

\begin{center}
\begin{tabular}{p{8cm}p{0.1cm}p{4.9cm}}
\multicolumn{1}{c}{QUANTITIES} & & VALUES \\ 
A) mass of a medicine tablet & 1) & $3.3464\cdot 10^{-27}$ kg \\
B) mass of the Earth & 2) & 5 t \\
C) mass of a hydrogen molecule & 3) & 500 mg \\
D) mass of an adult elephant & 4) & $5.9726\cdot 10^{24}$ kg \\
\end{tabular}
\end{center}

In the table below each letter corresponding to the quantity, indicate the number of its possible value.

\vspace{\medskip}

\begin{tabular}{|*{4}{c|}} \hline
A & B & C & D \\ \hline
 &  &  &  \\ \hline
\end{tabular}"
2565,Найдите значение выражения $\left(\dfrac{14}{11} +\dfrac{17}{10} \right)\cdot \dfrac{11}{15}$.,2.18,от обыкновенных дробей к десятичным,Find the value of the expression $\left(\dfrac{14}{11} +\dfrac{17}{10} \right)\cdot \dfrac{11}{15}$.
135,"Сергей Петрович хочет купить в интернет-магазине микроволновую печь определённой модели. В таблице показано 6 предложений от разных интернет-магазинов.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Номер магазина & Рейтинг магазина & Стоимость товара (руб.) & Стоимость доставки (руб.) \\ \hline
1 & 4 & 17980 & 490 \\ \hline
2 & 5 & 20490 & 500 \\ \hline
3 & 4,5 & 18890 & 400 \\ \hline
4 & 4 & 17490 & 0 \\ \hline
5 & 3,5 & 13979 & 690 \\ \hline
6 & 5 & 17750 & 600 \\ \hline
\end{tabularx}
\end{center}

Сергей Петрович считает, что покупку нужно делать в магазине, рейтинг которого не ниже 4. Среди магазинов, удовлетворяющих этому условию, выберите предложение с самой низкой стоимостью покупки с учётом доставки.

В ответе запишите номер выбранного магазина.",17490,узнать данные из таблицы+ сравнение,"Sergey Petrovich wants to buy a microwave of a certain model in an online store. The table shows 6 offers from different online stores.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Store number & Store rating & Product cost (rubles) & Delivery cost (rubles) \\ \hline
1 & 4 & 17980 & 490 \\ \hline
2 & 5 & 20490 & 500 \\ \hline
3 & 4.5 & 18890 & 400 \\ \hline
4 & 4 & 17490 & 0 \\ \hline
5 & 3.5 & 13979 & 690 \\ \hline
6 & 5 & 17750 & 600 \\ \hline
\end{tabularx}
\end{center}

Sergey Petrovich believes that the purchase should be made in a store with a rating of not less than 4. Among the stores that meet this condition, select the offer with the lowest total purchase cost including delivery.

In your answer, write down the number of the selected store."
6885,Число посетителей сайта увеличилось за~месяц вдвое. На~сколько процентов увеличилось число посетителей сайта за~этот месяц?,100,дробь в проценты,The number of website visitors doubled over the month. By what percentage did the number of website visitors increase during this month?
12130,"На прилавке цветочного магазина стоят 3 вазы с розами: жёлтая, зелёная и красная. Слева от зелёной вазы 21 роза, справа от жёлтой вазы 31 роза. Всего в вазах 40 роз. Сколько роз в красной вазе?",12,формула включений - исключений,"There are 3 vases with roses on the flower shop counter: yellow, green, and red. To the left of the green vase, there are 21 roses, and to the right of the yellow vase, there are 31 roses. In total, there are 40 roses in the vases. How many roses are in the red vase?"
8502,"Система навигации самолёта информирует пассажира о том, что полёт проходит на высоте 41~000 футов. Выразите высоту полёта в метрах. Считайте, что 1 фут равен 30,5 см.",12505,футы в метры,"The airplane's navigation system informs the passenger that the flight is at an altitude of 41,000 feet. Express the flight altitude in meters. Assume that 1 foot is equal to 30.5 cm."
8719,"На птицеферме есть только куры и гуси, причём кур в 99 раз больше, чем гусей. Найдите вероятность того, что случайно выбранная на этой ферме птица окажется гусем.",0.01,вероятность по определению,"On a poultry farm, there are only chickens and geese, with chickens being 99 times more numerous than geese. Find the probability that a randomly selected bird on this farm will be a goose."
4801,В пачке 250~листов бумаги формата А4. За неделю в офисе расходуется 700~листов. Какого наименьшего количества пачек бумаги хватит на 8~недель?,22.4,деление с остатком+ условие,A pack contains 250 sheets of A4 paper. The office uses 700 sheets per week. What is the smallest number of packs of paper sufficient for 8 weeks?
10491,Найдите значение выражения $\dfrac{\left(8\sqrt{3} \right)\strut^{2} }{48}$.,4,выполнить действия,Find the value of the expression $\dfrac{\left(8\sqrt{3} \right)^{2} }{48}$.
6089,"Найдите трёхзначное число $A$, обладающее тремя свойствами: 

\begin{itemize}
\item сумма цифр числа $A$ делится на 6;
\item сумма цифр числа $A+3$ делится на 6;
\item число $A$ больше 350 и меньше 400. 
\end{itemize}

В ответе укажите какое-нибудь одно такое число.","369, 378, 387",перебор,"Find a three-digit number $A$ that has three properties:

\begin{itemize}
\item the sum of the digits of the number $A$ is divisible by 6;
\item the sum of the digits of the number $A+3$ is divisible by 6;
\item the number $A$ is greater than 350 and less than 400.
\end{itemize}

In your answer, indicate any one such number."
8269,"Выпускники 11 <<А>> покупают букеты цветов для последнего звонка: из 3 роз каждому учителю и из 9 роз классному руководителю и директору. Они собираются подарить букеты 15 учителям (включая директора и классного руководителя), розы покупаются по оптовой цене 35 рублей за штуку. Сколько рублей стоят все розы?",1995,подсчеты,"The graduates of class 11 ""A"" are buying bouquets of flowers for the last bell ceremony: 3 roses for each teacher and 9 roses for the class teacher and the principal. They plan to give bouquets to 15 teachers (including the principal and the class teacher), and the roses are bought at a wholesale price of 35 rubles each. How much do all the roses cost?"
5186,Найдите корень уравнения $6\strut^{x-12} =\dfrac{1}{36} $.,10,к основанию 6,Find the root of the equation $6^{x-12} = \frac{1}{36}$.
12101,Среднее арифметическое четырёх различных натуральных чисел равно 11. Среднее арифметическое этих чисел и пятого числа равно 12. Чему равно пятое число?,16,использовать определение среднего,The arithmetic mean of four different natural numbers is 11. The arithmetic mean of these numbers and a fifth number is 12. What is the fifth number?
10974,"В параллелограмме $ABCD$ известно, что $AB=6$, $AC=BD=10$. Найдите площадь параллелограмма.",48,"прямоугольник, теорема пифагора, площадь","In parallelogram $ABCD$, it is known that $AB=6$, $AC=BD=10$. Find the area of the parallelogram."
8407,"Стоимость полугодовой подписки на журнал составляет 590 рублей, а стоимость одного номера журнала --- 27 рублей. За полгода Аня купила 25 номеров журнала. На сколько рублей меньше она бы потратила, если бы подписалась на журнал?",85,подсчеты,"The cost of a six-month subscription to a magazine is 590 rubles, while the cost of a single issue of the magazine is 27 rubles. Over six months, Anya bought 25 issues of the magazine. How many rubles less would she have spent if she had subscribed to the magazine?"
7030,Цена на электрический чайник была повышена на 16\% и составила 2320~рублей. Сколько рублей стоил чайник до повышения цены?,2000,число по проценту,The price of an electric kettle was increased by 16% and amounted to 2320 rubles. How much did the kettle cost before the price increase?
10090,"В таблице три столбца и несколько строк. В каждую клетку таблицы вписали по натуральному числу так, что сумма
всех чисел в первом столбце равна 127, во втором~--- 136, в третьем~--- 146, а сумма чисел в каждой строке больше 17, но меньше 20. Сколько всего строк в таблице?",22,оценка в целых числах,"In the table, there are three columns and several rows. In each cell of the table, a natural number is written such that the sum of all numbers in the first column is 127, in the second column is 136, and in the third column is 146, while the sum of the numbers in each row is greater than 17 but less than 20. How many rows are there in the table in total?"
4167,"Площадь поверхности прямоугольного параллелепипеда с рёбрами~$a$, $b$ и $c$ вычисляется по формуле~$S=2\left(ab+ac+bc\right)$. Найдите площадь поверхности прямоугольного параллелепипеда, если его рёбра имеют длины 3, 5 и 9.",174,подставить числа в формулу,"The surface area of a rectangular parallelepiped with edges $a$, $b$, and $c$ is calculated using the formula $S=2(ab+ac+bc)$. Find the surface area of a rectangular parallelepiped if its edges have lengths 3, 5, and 9."
12340,"Установите соответствие между функциями и характеристиками этих функций на отрезке $\left[2;5\right]$.

\begin{center}
\begin{tabularx}{\textwidth}{clcX} 
\multicolumn{2}{c}{ФУНКЦИИ} & \multicolumn{2}{c}{ХАРАКТЕРИСТИКИ} \\ 
А) & $y=5x-x^{2}$ & 1) & функция убывающая \\ 
Б) & $y=2x+1$  & 2) & функция имеет точку максимума \\ 
В) & $y=16-2x$  & 3) & функция имеет точку минимума  \\ 
Г) & $y=x^{2}-8x+3$  & 4) & функция возрастающая \\ 
\end{tabularx}
\end{center}

\vspace{\baselineskip}
В таблице под каждой буквой укажите соответствующий номер.

\vspace{\baselineskip}
\begin{tabular}{|*{4}{C|}} \hline 
 А & Б & В & Г \\ \hline 
& & & \\ \hline
\end{tabular}",2413,сопоставить,"Match the functions with the characteristics of these functions on the interval $[2;5]$.

\begin{center}
\begin{tabularx}{\textwidth}{clcX} 
\multicolumn{2}{c}{FUNCTIONS} & \multicolumn{2}{c}{CHARACTERISTICS} \\ 
A) & $y=5x-x^{2}$ & 1) & the function is decreasing \\ 
B) & $y=2x+1$  & 2) & the function has a maximum point \\ 
C) & $y=16-2x$  & 3) & the function has a minimum point  \\ 
D) & $y=x^{2}-8x+3$  & 4) & the function is increasing \\ 
\end{tabularx}
\end{center}

\vspace{\baselineskip}
In the table below each letter, indicate the corresponding number.

\vspace{\baselineskip}
\begin{tabular}{|*{4}{C|}} \hline 
 A & B & C & D \\ \hline 
& & & \\ \hline
\end{tabular}"
156,"Дмитрий Валентинович собирается в туристическую поездку на трое суток в некоторый город. В таблице дана информация о гостиницах в этом городе со свободными номерами на время его поездки.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Название\newline гостиницы & Рейтинг\newline гостиницы & Расстояние\newline до центральной площади (км) & Цена номера\newline (руб. за сутки) \\ \hline
«Южная» & 7,6 & 1,1 & 3000 \\ \hline
«Уют-плюс» & 5,3 & 1,9 & 2500 \\ \hline
«Центральная» & 9,4 & 3,4 & 3800 \\ \hline
«Вокзальная» & 6,9 & 2,3 & 1600 \\ \hline
«Турист» & 8,8 & 2,4 & 3200 \\ \hline
«Эльдорадо» & 9,1 & 2,1 & 3300 \\ \hline
\end{tabularx}
\end{center}

Дмитрий Валентинович хочет остановиться в гостинице, которая находится не далее 2,5 км от центральной площади и рейтинг которой не ниже 8,5. Среди гостиниц, удовлетворяющих этим условиям, выберите предложение с наименьшей ценой номера за сутки. Сколько рублей стоит проживание в этой гостинице в течение 3 суток?",9600,извлечь данные изтаблицы,"Dmitry Valentinovich is planning a tourist trip for three days to a certain city. The table provides information about hotels in this city with available rooms for the duration of his trip.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Hotel Name & Hotel Rating & Distance to the central square (km) & Room price\newline (rubles per day) \\ \hline
""Southern"" & 7.6 & 1.1 & 3000 \\ \hline
""Cozy-plus"" & 5.3 & 1.9 & 2500 \\ \hline
""Central"" & 9.4 & 3.4 & 3800 \\ \hline
""Station"" & 6.9 & 2.3 & 1600 \\ \hline
""Tourist"" & 8.8 & 2.4 & 3200 \\ \hline
""Eldorado"" & 9.1 & 2.1 & 3300 \\ \hline
\end{tabularx}
\end{center}

Dmitry Valentinovich wants to stay in a hotel that is no further than 2.5 km from the central square and has a rating of at least 8.5. Among the hotels that meet these conditions, choose the offer with the lowest room price per day. How much does it cost to stay in this hotel for 3 days?"
4257,"Площадь треугольника со сторонами~$a$, $b$, $c$ можно найти по формуле Герона $S=\sqrt{p\left(p-a\right)\left(p-b\right)\left(p-c\right)} $, где $p=\dfrac{a+b+c}{2} $. Найдите площадь треугольника,\rule{0pt}{14pt} если длины его сторон равны 13, 14, 15.",84,подставить числа в формулу,"The area of a triangle with sides $a$, $b$, $c$ can be found using Heron's formula $S = \sqrt{p(p-a)(p-b)(p-c)}$, where $p = \frac{a+b+c}{2}$. Find the area of the triangle if the lengths of its sides are 13, 14, 15."
13578,"Два человека отправляются из одного дома на прогулку до опушки леса, находящейся в 1,1 км от дома. Один идёт со скоростью 3,5 км/ч, а другой~--- со скоростью 4,2 км/ч. Дойдя до опушки, второй с той же скоростью возвращается обратно. На каком расстоянии от дома произойдёт их встреча? Ответ дайте в километрах.",1,составить уравнение,"Two people set out from the same house for a walk to the edge of the forest, which is 1.1 km from the house. One walks at a speed of 3.5 km/h, and the other at a speed of 4.2 km/h. Having reached the edge of the forest, the second one returns back at the same speed. At what distance from the house will they meet? Give the answer in kilometers."
3423,"Интернет-провайдер предлагает три тарифных плана.

\vspace{\baselineskip}

\hyphenpenalty=10000
\begin{tabularx}{\textwidth}{|C|>{\centering\arraybackslash}X|>{\centering\arraybackslash}X|} \hline
Тарифный план & Абонентская плата & Плата за трафик \\ \hline
План ""0"" & Нет & 1,1~руб. за 1~Мбайт \\ \hline
План ""500"" & 525~руб. за 500~Мбайт\newline трафика в~месяц & 1~руб. за 1~Мбайт\newline сверх 500~Мбайт \\ \hline
План ""900"" & 738~руб. за 900~Мбайт\newline трафика в~месяц & 0,5~руб. за 1~Мбайт\newline сверх 900~Мбайт \\ \hline
\end{tabularx}
\vspace{\medskip}

Пользователь предполагает, что его трафик составит 750~Мбайт в месяц, и исходя из этого выбирает наиболее дешёвый тарифный план. Сколько рублей должен будет заплатить пользователь за месяц, если его трафик действительно будет равен 750~Мбайт?",738,извлечь данные из таблицы,"The internet provider offers three tariff plans.

\begin{tabularx}{\textwidth}{|C|>{\centering\arraybackslash}X|>{\centering\arraybackslash}X|} \hline
Tariff plan & Subscription fee & Traffic fee \\ \hline
Plan ""0"" & No & 1.1 rubles per 1 MB \\ \hline
Plan ""500"" & 525 rubles for 500 MB\newline of traffic per month & 1 ruble per 1 MB\newline over 500 MB \\ \hline
Plan ""900"" & 738 rubles for 900 MB\newline of traffic per month & 0.5 rubles per 1 MB\newline over 900 MB \\ \hline
\end{tabularx}
\vspace{\medskip}

The user expects that their traffic will be 750 MB per month and chooses the cheapest tariff plan based on this. How many rubles will the user have to pay per month if their traffic is indeed 750 MB?"
8570,"Решите уравнение $x^{2} -25=0$. Если уравнение имеет более одного корня, в ответе укажите меньший из них.",-5,решить квадратное уравнение,"Solve the equation \(x^2 - 25 = 0\). If the equation has more than one root, indicate the smaller one in the answer."
8173,На день рождения полагается дарить букет из нечётного числа цветов. Розы стоят 80 рублей за штуку. У Вани есть 300 рублей. Из какого наибольшего числа роз он может купить букет Маше на день рождения?,3,деление с остатком+ условие,"For a birthday, it is customary to give a bouquet with an odd number of flowers. Roses cost 80 rubles each. Vanya has 300 rubles. What is the largest number of roses he can buy for Masha's birthday bouquet?"
6406,"Даны два конуса. Радиус основания и~высота первого конуса равны соответственно 3 и~4, а второго~--- 2 и~9. Во сколько раз объём второго конуса больше объёма первого?",1,отношение обьемов,"Two cones are given. The radius of the base and the height of the first cone are 3 and 4, respectively, and of the second cone are 2 and 9. How many times is the volume of the second cone greater than the volume of the first cone?"
2548,Найдите значение выражения $3\dfrac{1}{2} :\left(1\dfrac{4}{15} +2\dfrac{9}{10} \right)$.,0.84,"действия с обыкновенными дробями, в десятичные",Find the value of the expression $3\frac{1}{2} : \left(1\frac{4}{15} +2\frac{9}{10} \right)$.
8714,"На птицеферме есть только куры и гуси, причём кур в 7 раз больше, чем гусей. Найдите вероятность того, что случайно выбранная на этой ферме птица окажется гусем.",0.125,вероятность по определению,"On the poultry farm, there are only chickens and geese, with chickens being 7 times more numerous than geese. Find the probability that a randomly selected bird on this farm will be a goose."
7113,"Набор полотенец, который стоил 280 рублей, продаётся со скидкой 15\%. Сколько рублей стоят два набора полотенец со скидкой?",476,процент от числа,A set of towels that cost 280 rubles is being sold with a 15% discount. How much do two sets of towels cost with the discount?
177,"Дмитрий Валентинович собирается в туристическую поездку на трое суток в некоторый город. В таблице дана информация о гостиницах в этом городе со свободными номерами на время его поездки.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Название\linebreak гостиницы & Рейтинг\linebreak гостиницы & Расстояние\linebreak до центральной площади (км) & Цена номера\linebreak (руб. за сутки) \\ \hline
«Южная» & 9,2 & 2,3 & 3600 \\ \hline
«Уют-плюс» & 8,5 & 0,5 & 3700 \\ \hline
«Центральная» & 7,3 & 1,2 & 2400 \\ \hline
«Вокзальная» & 8,7 & 3,7 & 3600 \\ \hline
«Турист» & 5,8 & 2,7 & 1900 \\ \hline
«Эльдорадо» & 6,2 & 3,2 & 1500 \\ \hline
\end{tabularx}
\end{center}

Дмитрий Валентинович хочет остановиться в гостинице, которая находится не далее 2,5 км от центральной площади и рейтинг которой не ниже~8,5. Среди гостиниц, удовлетворяющих этим условиям, выберите гостиницу с~наименьшей ценой номера за сутки. Сколько рублей стоит проживание в~этой гостинице в течение трёх суток?",10800,извлечь данные из таблицы,"Dmitry Valentinovich is planning a tourist trip for three days to a certain city. The table provides information about hotels in this city with available rooms for the duration of his trip.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Hotel Name & Hotel Rating & Distance to Central Square (km) & Room Price\linebreak (rubles per day) \\ \hline
""Southern"" & 9.2 & 2.3 & 3600 \\ \hline
""Comfort Plus"" & 8.5 & 0.5 & 3700 \\ \hline
""Central"" & 7.3 & 1.2 & 2400 \\ \hline
""Near the Station"" & 8.7 & 3.7 & 3600 \\ \hline
""Tourist"" & 5.8 & 2.7 & 1900 \\ \hline
""Eldorado"" & 6.2 & 3.2 & 1500 \\ \hline
\end{tabularx}
\end{center}

Dmitry Valentinovich wants to stay in a hotel that is no further than 2.5 km from the central square and has a rating of no less than 8.5. Among the hotels that meet these conditions, choose the hotel with the lowest price per day. How much does it cost to stay at this hotel for three days?"
10076,"Прямоугольник разбит на четыре маленьких прямоугольника двумя прямолинейными разрезами. Периметры трёх из них, начиная с левого верхнего и далее по часовой стрелке равны 21, 11 и 4. Найдите периметр четвёртого прямоугольника.",14,р1+р3=р2+р4,"A rectangle is divided into four smaller rectangles by two straight cuts. The perimeters of three of them, starting with the top left one and moving clockwise, are 21, 11, and 4. Find the perimeter of the fourth rectangle."
1001,"Найдите корень уравнения $2^{2x\; -\; 3} =2^{x\; -\; 2}$ .

 \textbf{}",1,убрать основание,Find the root of the equation $2^{2x - 3} = 2^{x - 2}$.
4442,Найдите значение выражения $\sqrt{63} \cdot \sqrt{7} $.,21,под  один корень ,Find the value of the expression $\sqrt{63} \cdot \sqrt{7} $.
11973,Найдите корень уравнения $2x-7=9$.,8,решить уравнение,Find the root of the equation $2x-7=9$.
2475,Найдите значение выражения $\dfrac{1}{\dfrac{1}{3} +\dfrac{1}{7} }$.,2.1,от обыкновенных дробей к десятичным,Find the value of the expression $\dfrac{1}{\dfrac{1}{3} +\dfrac{1}{7} }$.
4255,"Площадь треугольника со сторонами~$a$, $b$, $c$ можно найти по формуле Герона $S=\sqrt{p\left(p-a\right)\left(p-b\right)\left(p-c\right)} $, где $p=\dfrac{a+b+c}{2} $. Найдите площадь треугольника,\rule{0pt}{14pt} если длины его сторон равны 5, 29, 30.",72,подставить числа в формулу,"The area of a triangle with sides $a$, $b$, $c$ can be found using Heron's formula $S=\sqrt{p(p-a)(p-b)(p-c)}$, where $p=\dfrac{a+b+c}{2}$. Find the area of the triangle if the lengths of its sides are 5, 29, 30."
2299,Найдите значение выражения $\left(-3\right)+5\dfrac{2}{5} +\dfrac{1}{25}$.,2.44,от обыкновенных дробей к десятичным,Find the value of the expression $\left(-3\right)+5\dfrac{2}{5} +\dfrac{1}{25}$.
9294,"Турист, прибывший в Санкт-Петербург, хочет посетить 4 музея: Эрмитаж, Русский музей, Петропавловскую крепость и Исаакиевский собор. Экскурсионные кассы предлагают маршруты с посещением одного или нескольких объектов. Сведения о стоимости билетов и маршрутах представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|}
\hline
Номер&Посещаемые&Стоимость\\
маршрута&объекты&(руб.)\\\hline
1&Эрмитаж&300\\\hline
2&Петропавловская крепость, Исаакиевский собор&1350\\\hline
3&Исаакиевский собор&300\\\hline
4&Эрмитаж, Русский музей&1400\\\hline
5&Петропавловская крепость, Русский музей&1650\\\hline
6&Русский музей&650\\\hline
\end{tabular}
\end{center}

Какие маршруты должен выбрать путешественник, чтобы посетить все четыре музея и затратить на все билеты наименьшую сумму?

В ответе укажите какой-нибудь один набор номеров маршрутов без пробелов, запятых и других дополнительных символов.",2250,извлечь данные из таблицы,"A tourist who has arrived in St. Petersburg wants to visit 4 museums: the Hermitage, the Russian Museum, the Peter and Paul Fortress, and St. Isaac's Cathedral. The excursion ticket offices offer routes with visits to one or several sites. Information about the cost of tickets and the routes are presented in the table.

\begin{center}
\begin{tabular}{|c|c|c|}
\hline
Route&Visited&Cost\\
Number&Sites&(rubles)\\\hline
1&Hermitage&300\\\hline
2&Peter and Paul Fortress, St. Isaac's Cathedral&1350\\\hline
3&St. Isaac's Cathedral&300\\\hline
4&Hermitage, Russian Museum&1400\\\hline
5&Peter and Paul Fortress, Russian Museum&1650\\\hline
6&Russian Museum&650\\\hline
\end{tabular}
\end{center}

Which routes should the traveler choose to visit all four museums and spend the least amount of money on all tickets?

In your answer, indicate any one set of route numbers without spaces, commas, and other additional symbols."
8159,На день рождения полагается дарить букет из нечётного числа цветов. Тюльпаны стоят 55 рублей за штуку. У Вани есть 400 рублей. Из какого наибольшего числа тюльпанов он может купить букет Маше на день рождения?,7,деление с остатком+ условие,It is customary to give a bouquet of an odd number of flowers for a birthday. Tulips cost 55 rubles each. Vanya has 400 rubles. What is the largest odd number of tulips he can buy for Masha's birthday bouquet?
1054,"Найдите корень уравнения $2^{-4x-5} :2^{2x+3} =16$

 \textbf{}",-2,к основанию 2,Find the root of the equation $2^{-4x-5} :2^{2x+3} =16$
11900,"В доме девятнадцать квартир с номерами от 1 до 19. В каждой квартире живёт не менее одного и не более трёх человек. В квартирах с 1-й по 12-ю включительно живёт суммарно 16 человек, а в квартирах с 9-й по 19-ю живёт суммарно 29 человек. Сколько всего человек живёт в этом доме?",37,"оценка в целых числах, формула вкл и искл","In the building, there are nineteen apartments numbered from 1 to 19. In each apartment, there lives no fewer than one and no more than three people. A total of 16 people live in the apartments from 1st to 12th inclusive, and a total of 29 people live in the apartments from 9th to 19th. How many people live in this building altogether?"
3111,Найдите значение выражения $\left(4\sqrt{3} -2\right)\cdot \left(4\sqrt{3} +2\right)$.,44,разность квадратов,Find the value of the expression $(4\sqrt{3} -2)\cdot (4\sqrt{3} +2)$.
9241,"Путешественник из Москвы хочет посетить четыре города Золотого кольца России: Владимир, Ярославль, Суздаль и Ростов. Турагентство предлагает маршруты с посещением некоторых городов Золотого кольца. Сведения о стоимости билетов и маршрутах представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|c|}
\hline
Номер маршрута&Посещаемые города&Стоимость (руб.)\\\hline
1&Ростов&1700 \\\hline
2&Ростов, Ярославль, Владимир&3750 \\\hline
3&Ярославль, Владимир&2050 \\\hline
4&Суздаль, Ростов&2850 \\\hline
5&Ярославль, Суздаль&2350 \\\hline
6&Суздаль, Владимир&2450 \\\hline
\end{tabular}
\end{center}

Какие маршруты должен выбрать путешественник, чтобы побывать во всех четырёх городах и затратить менее 6000 рублей?

В ответе укажите какой-нибудь один набор номеров маршрутов без пробелов, запятых и других дополнительных символов.",34,извлечь данные из таблицы,"A traveler from Moscow wants to visit four cities of the Golden Ring of Russia: Vladimir, Yaroslavl, Suzdal, and Rostov. The travel agency offers routes that include visits to some of the Golden Ring cities. Information about the ticket costs and routes is presented in the table.

\begin{center}
\begin{tabular}{|c|c|c|c|}
\hline
Route number & Cities visited & Cost (RUB) \\\hline
1 & Rostov & 1700 \\\hline
2 & Rostov, Yaroslavl, Vladimir & 3750 \\\hline
3 & Yaroslavl, Vladimir & 2050 \\\hline
4 & Suzdal, Rostov & 2850 \\\hline
5 & Yaroslavl, Suzdal & 2350 \\\hline
6 & Suzdal, Vladimir & 2450 \\\hline
\end{tabular}
\end{center}

Which routes should the traveler choose to visit all four cities and spend less than 6000 rubles?

In your answer, indicate any one set of route numbers without spaces, commas, and other additional symbols."
82,"В таблице показано расписание пригородных электропоездов по направлению Москва Курская-Тула.

\begin{center}
\begin{tabularx}{\textwidth}{|c|c|c|>{\centering\arraybackslash}X|} \hline
Номер электрички & Москва Курская & Тула & Время в пути \\ \hline
1 & 06:55 & 09:14 & 2:19 \\ \hline
2 & 07:00 & 10:18 & 3:18 \\ \hline
3 & 08:30 & 10:26 & 1:56 \\ \hline
4 & 10:22 & 13:47 & 3:25 \\ \hline
5 & 14:59 & 18:47 & 3:48 \\ \hline
\end{tabularx}
\end{center}


Какая из электричек Москва-Тула проводит в пути меньше всего времени? В ответе укажите номер этой электрички.",3,извлечь данные из таблицы,"The table shows the schedule of suburban electric trains on the Moscow Kurskaya-Tula route.

\begin{center}
\begin{tabularx}{\textwidth}{|c|c|c|>{\centering\arraybackslash}X|} \hline
Train Number & Moscow Kurskaya & Tula & Travel Time \\ \hline
1 & 06:55 & 09:14 & 2:19 \\ \hline
2 & 07:00 & 10:18 & 3:18 \\ \hline
3 & 08:30 & 10:26 & 1:56 \\ \hline
4 & 10:22 & 13:47 & 3:25 \\ \hline
5 & 14:59 & 18:47 & 3:48 \\ \hline
\end{tabularx}
\end{center}

Which of the Moscow-Tula electric trains spends the least amount of time en route? In your response, indicate the number of this train."
11935,"Обезьяны составляют 8\% всех животных в зоопарке. Сколько в зоопарке обезьян, если всего в зоопарке 350 животных?",28,процент от числа,Monkeys make up 8% of all animals in the zoo. How many monkeys are there in the zoo if there are a total of 350 animals in the zoo?
